               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.012854,           0.0058145,            0.004978,             0.88842,             0.79505,             0.96003,             0.80437,            0.013206,           0.0053712,             0.01995,             0.00208,             0.00208,             0.00208
                  82,            0.013128,           0.0060892,           0.0048877,             0.96407,              0.7999,             0.95326,             0.79009,            0.013512,           0.0051222,            0.013775,            0.001981,            0.001981,            0.001981
                  83,            0.012321,           0.0057899,           0.0047322,             0.95016,             0.85385,             0.95835,              0.7513,             0.01443,           0.0052763,           0.0095455,            0.001882,            0.001882,            0.001882
                  84,            0.012399,           0.0057278,           0.0051821,              0.9585,             0.78424,             0.95642,             0.76728,            0.014376,           0.0049846,            0.015865,            0.001783,            0.001783,            0.001783
                  85,            0.012888,            0.005873,           0.0050144,             0.84502,              0.8728,             0.95445,             0.78776,            0.013937,           0.0052081,            0.020869,            0.001684,            0.001684,            0.001684
                  86,            0.012051,           0.0054218,           0.0045505,             0.83309,             0.80513,             0.94599,             0.78147,            0.013347,           0.0052353,            0.021498,            0.001585,            0.001585,            0.001585
                  87,            0.012009,           0.0055228,           0.0044343,             0.86971,             0.84995,             0.95456,             0.78723,            0.013053,           0.0049805,             0.01936,            0.001486,            0.001486,            0.001486
                  88,            0.011582,           0.0054142,           0.0061192,             0.91962,             0.80723,             0.95292,             0.78175,             0.01358,           0.0048861,            0.018261,            0.001387,            0.001387,            0.001387
                  89,            0.011882,           0.0059897,             0.00482,             0.92084,             0.81637,             0.95874,             0.78325,            0.013841,           0.0050176,            0.016793,            0.001288,            0.001288,            0.001288
                  90,            0.011348,           0.0058098,           0.0041041,              0.9037,             0.79355,             0.95741,             0.79286,            0.013931,           0.0049951,             0.01883,            0.001189,            0.001189,            0.001189
                  91,            0.011716,           0.0059253,            0.004215,             0.86289,             0.79133,             0.95442,             0.77408,            0.014184,           0.0049277,            0.021606,             0.00109,             0.00109,             0.00109
                  92,            0.011532,           0.0056087,           0.0039893,             0.87872,             0.79691,             0.95426,             0.79107,             0.01372,           0.0048789,            0.021157,            0.000991,            0.000991,            0.000991
                  93,            0.011126,            0.005363,           0.0041392,             0.88468,             0.79757,             0.95519,             0.77463,            0.013822,           0.0047933,            0.020971,            0.000892,            0.000892,            0.000892
                  94,             0.01127,           0.0053759,           0.0043172,             0.89738,             0.79778,             0.95519,             0.77844,            0.013503,           0.0048179,            0.020902,            0.000793,            0.000793,            0.000793
                  95,             0.01121,           0.0055642,           0.0042647,             0.88858,             0.79734,             0.95431,              0.7918,            0.013627,           0.0049296,            0.020606,            0.000694,            0.000694,            0.000694
                  96,             0.01055,           0.0053194,           0.0026828,             0.88266,             0.79704,              0.9573,             0.77781,            0.013812,           0.0049565,            0.019562,            0.000595,            0.000595,            0.000595
                  97,            0.011335,           0.0056651,            0.004856,             0.91853,             0.79686,             0.95775,             0.78184,            0.013737,           0.0049508,            0.018912,            0.000496,            0.000496,            0.000496
                  98,            0.010976,           0.0053232,           0.0040156,             0.93647,             0.79824,             0.95826,             0.78923,            0.013862,           0.0050411,            0.018047,            0.000397,            0.000397,            0.000397
                  99,            0.010302,            0.005129,           0.0050292,             0.93367,             0.79892,             0.95775,             0.80063,            0.013625,            0.005003,             0.01839,            0.000298,            0.000298,            0.000298
